City_ID,City,solo_rest,fam_rest,couple_rest
186,Al Ahmadi,Burj Al Hamam,Old Country Buffet,Momofuku Noodle Bar
187,Doha,IDAM,Hometown Buffet,Momofuku Ko
188,Al Rayyan,Opal by Gordon Ramsay,Sizzler,Eleven Madison Park
189,Al Wakrah,Argan,Friendly's,Gramercy Tavern
190,Muscat,Ubhar,Ruby Tuesday,Per Se
191,Seeb,Bait Al Luban,Applebee's,Jean-Georges
192,Salalah,Kargeen Caffe,Joe's Crab Shack,Le Bernardin
193,Manama,Rasoi by Vineet,Black Angus Steakhouse,Daniel
194,Riffa,Plums,Max Brenner Chocolate Bar,Eleven Madison Park
195,Muharraq,Sato,Mellow Mushroom,Gramercy Tavern
196,Nicosia,Dionysus Mansion,Buca di Beppo,Carbone
197,Limassol,Vivaldi by Mavrommatis,Carrabba's Italian Grill,Balthazar
198,Larnaca,To Kazani,The Old Spaghetti Factory,ABC Kitchen
199,Valletta,Legligin Wine Bar,The Yard House,Blue Hill at Stone Barns
200,Sliema,Ta' Kris,T.G.I. Friday's,Le Bernardin
201,St. Julian's,The Avenue,The Rainforest Cafe,Eleven Madison Park
202,Reykjavik,Dill,P.F. Chang's,The River Café
203,Kópavogur,Grillid,Buffalo Wild Wings,Peter Luger Steak House
204,Hafnarfjörður,Fiskfelagid,Bubba Gump Shrimp Co.,Russ & Daughters Cafe
205,Podgorica,Pod Volat,Red Robin Gourmet Burgers,Via Carota
206,Niksic,Kraljeva Sutjeska,Cracker Barrel,Il Buco
207,Herceg Novi,Savina,The Cheesecake Factory,Minetta Tavern
208,Beirut,Em Sherif,Texas Roadhouse,The Polo Bar
209,Tripoli,Al-Rawda Café,Olive Garden,Sant Ambroeus
210,Sidon,Al-Sultan Ibrahim,LongHorn Steakhouse,Cafe Luxembourg
